K	Lag	Month	Model	CoefB0	CoefBvazao	CoefBX1	CoefBX2	CoefBX3	NSE.orig	NSE.comp	Alpha.NSE	Beta.NSE	r.NSE	KGE.orig	Alpha.KGE	Beta.KGE	r.KGE
223	1	1	PAR	525.242237260191	1.28605021511209	0	0	0	0.408715394829307	0.429344876214112	0.767333823196713	0.430889002485843	0.784411796083719	0.630199374389707	0.767333823196713	1.19010702040077	0.784411796083719
223	1	1	PARX	497.537334586608	1.30763782432368	0	29.3437427159006	0	0.406752038913518	0.426690856950686	0.771693905773832	0.423614638952096	0.778580532062574	0.63110846690867	0.771693905773832	1.18689759159489	0.778580532062574
223	1	1	RIDGE	663.309483325372	1.19735852263985	47.3776018225217	25.6444677685662	46.2968681736244	0.407968389357498	0.430721627488755	0.746525889566841	0.452525295625906	0.798901746834081	0.619801486732503	0.746525889566841	1.19965289230199	0.798901746834081
223	1	2	PAR	1369.28188011311	0.651965548354032	0	0	0	0.571219489044739	0.571227751153815	0.64670116155107	0.00908961444514325	0.765061842646726	0.575710428721324	0.64670116155107	1.0023734502159	0.765061842646726
223	1	2	PARX	1631.09376147818	0.771532224131137	252.012158035617	-126.270546147341	131.210952087859	-0.0610218000150953	-0.0454749001441827	1.00752986413777	-0.394295572773934	0.55835095600728	0.546446525487164	1.00752986413777	0.897042837407742	0.55835095600728
223	1	2	RIDGE	1846.85924858541	0.688179034824236	267.257418405649	-155.596857203296	150.030010206969	-0.145147590344473	-0.135503157139327	1.0174060631805	-0.310554877680995	0.489507733615632	0.482814263194721	1.0174060631805	0.918908932174207	0.489507733615632
223	1	3	PAR	1101.97862923016	0.758607076010175	0	0	0	0.323133778438259	0.324981256544628	0.655729081509437	-0.135921966818092	0.589753213449941	0.463485595750748	0.655729081509437	0.968018524518969	0.589753213449941
223	1	3	PARX	948.741898144671	0.81846621181321	0	0	-81.342618842125	0.359714325121784	0.362917125415952	0.771705399662815	-0.178963691685448	0.641743826503711	0.573105318767273	0.771705399662815	0.957891111704609	0.641743826503711
223	1	3	RIDGE	1261.16921349131	0.781782239263767	96.3735461047557	217.482065108273	-144.719881706731	0.547614023404515	0.548337892732496	0.653243623649449	-0.0850805105756261	0.751866365233825	0.573138149698133	0.653243623649449	0.979981158847344	0.751866365233825
223	1	4	PAR	1071.10562516914	0.654282388668721	0	0	0	0.457623574396475	0.463890779648062	0.660107824973124	0.250343868540578	0.728899989023651	0.561022049440172	0.660107824973124	1.06066081504423	0.728899989023651
223	1	4	PARX	1238.45842689882	0.658735844135072	106.665812287471	0	-7.7326273258115	0.573454338983962	0.577860530607375	0.743808871104231	0.209909304782142	0.789970467702427	0.664838314170196	0.743808871104231	1.05086311715035	0.789970467702427
223	1	4	RIDGE	1388.57596640535	0.6624325495512	174.955506269798	276.182337282389	-107.725060895726	0.573560887145909	0.587744365192734	0.824098806711342	0.376609586267057	0.854702116670743	0.754275745643995	0.824098806711342	1.09125625720179	0.854702116670743
223	1	5	PAR	153.41656379618	0.634658229126747	0	0	0	0.605995719207671	0.612538739318505	0.726308013324131	0.255793278074973	0.829876752377034	0.666649271782009	0.726308013324131	1.08528472929602	0.829876752377034
223	1	5	PARX	271.793823133828	0.598938729163996	1.78891067531375	0	-287.841998475688	0.621675327021918	0.621873775756725	0.83314531967508	0.0445475852103448	0.790972088347861	0.732131084644902	0.83314531967508	1.01485273097889	0.790972088347861
223	1	5	RIDGE	390.153460196355	0.607814752235007	65.762378788786	82.9648358381226	-268.505014663472	0.619411336323514	0.623520670996546	0.849735218312344	0.202714939583442	0.815938853117821	0.752965361600417	0.849735218312344	1.06758773677222	0.815938853117821
223	1	6	PAR	129.051357042657	0.423505056218969	0	0	0	0.694838012770331	0.710538939873815	1.19808455254868	0.396243953941052	0.961098614060818	0.772919625881702	1.19808455254868	1.10399369463245	0.961098614060818
223	1	6	PARX	110.871552246268	0.446558681832697	0	0	0	0.551321641066495	0.576872698102848	1.2633026469314	0.50548053410941	0.961098614060818	0.702609699755649	1.2633026469314	1.1326626886896	0.961098614060818
223	1	6	RIDGE	162.028328673739	0.416200001072898	-4.0881945653238	-106.893002300609	2.50748768882131	0.79539022605942	0.802127691998137	1.17779523437207	0.259566290930022	0.958020502900916	0.805027840833176	1.17779523437207	1.06812282516207	0.958020502900916
223	1	7	PAR	183.56865081361	0.38757297713987	0	0	0	0.708039832185662	0.723834563972436	0.797897287096923	0.397425864618477	0.951514679365217	0.77369299157008	0.797897287096923	1.08954624048311	0.951514679365217
223	1	7	PARX	151.951897694918	0.425953937481999	0	8.01405654521091	0	0.70085152731528	0.71850165296644	0.874228779548313	0.420120526172671	0.948995793369942	0.834530099248583	0.874228779548313	1.09465970138774	0.948995793369942
223	1	7	RIDGE	202.308119676896	0.377702836008723	3.5398255967239	-12.0240707375211	-0.652888346135781	0.727710654590307	0.743376356341769	0.783590576663028	0.395799213635682	0.966096077966609	0.763493047035956	0.783590576663028	1.08917973066818	0.966096077966609
223	1	8	PAR	39.2013850004482	0.621887441581389	0	0	0	0.6542433363466	0.682771943259065	1.06773557567656	0.534121773685229	0.987190705251761	0.870325336656514	1.06773557567656	1.10983320112363	0.987190705251761
223	1	8	PARX	31.3099057398244	0.640171256217905	0	24.578831822913	0	0.46549165484668	0.510485761831288	1.07828753204322	0.670776467868458	0.984491970065797	0.840641248815294	1.07828753204322	1.13793395127122	0.984491970065797
