K	Lag	Month	Model	CoefB0	CoefBvazao	CoefBX1	CoefBX2	CoefBX3	NSE.orig	NSE.comp	Alpha.NSE	Beta.NSE	r.NSE	KGE.orig	Alpha.KGE	Beta.KGE	r.KGE
223	1	1	PAR	525.242237260191	1.28605021511209	0	0	0	0.408715394829307	0.429344876214112	0.767333823196713	0.430889002485843	0.784411796083719	0.630199374389707	0.767333823196713	1.19010702040077	0.784411796083719
223	1	1	PARX	497.537334586608	1.30763782432368	0	29.3437427159006	0	0.406752038913518	0.426690856950686	0.771693905773832	0.423614638952096	0.778580532062574	0.63110846690867	0.771693905773832	1.18689759159489	0.778580532062574
223	1	1	RIDGE	663.309483325372	1.19735852263985	47.3776018225217	25.6444677685662	46.2968681736244	0.407968389357498	0.430721627488755	0.746525889566841	0.452525295625906	0.798901746834081	0.619801486732503	0.746525889566841	1.19965289230199	0.798901746834081
223	1	1	PARX1	744.821295944207	1.24279560731749	143.480462741431	0	0	0.540110831932537	0.554137964182036	0.973908682526647	0.355308584536718	0.836259243578385	0.771820573066413	0.973908682526647	1.15676115180338	0.836259243578385
223	1	1	PARX2	497.537334586608	1.30763782432368	0	29.3437427159006	0	0.406752038913518	0.426690856950686	0.771693905773832	0.423614638952096	0.778580532062574	0.63110846690867	0.771693905773832	1.18689759159489	0.778580532062574
223	1	1	PARX3	458.18532177411	1.3458610361793	0	0	116.661254484385	0.28858891858245	0.314900950249074	0.742581550445877	0.486629515134069	0.742771345213819	0.577475742744362	0.742581550445877	1.21469957837749	0.742771345213819
223	1	2	PAR	1369.28188011311	0.651965548354032	0	0	0	0.571219489044739	0.571227751153815	0.64670116155107	0.00908961444514325	0.765061842646726	0.575710428721324	0.64670116155107	1.0023734502159	0.765061842646726
223	1	2	PARX	1631.09376147818	0.771532224131137	252.012158035617	-126.270546147341	131.210952087859	-0.0610218000150953	-0.0454749001441827	1.00752986413777	-0.394295572773934	0.55835095600728	0.546446525487164	1.00752986413777	0.897042837407742	0.55835095600728
223	1	2	RIDGE	1846.85924858541	0.688179034824236	267.257418405649	-155.596857203296	150.030010206969	-0.145147590344473	-0.135503157139327	1.0174060631805	-0.310554877680995	0.489507733615632	0.482814263194721	1.0174060631805	0.918908932174207	0.489507733615632
223	1	2	PARX1	1657.10388297192	0.784381949651068	282.032294236317	0	0	0.15871349418244	0.172594082445158	1.00132387186084	-0.372566615019618	0.656156064165691	0.642656385728599	1.00132387186084	0.902716631360671	0.656156064165691
223	1	2	PARX2	1324.26149828052	0.689935943271422	0	-552.972703605566	0	0.54492828008986	0.562598097840421	0.978967553532083	-0.420354823340475	0.867073551155737	0.826335298787881	0.978967553532083	0.890238331643864	0.867073551155737
223	1	2	PARX3	1180.39542532655	0.744334941069578	0	0	233.364274254688	0.15142465455201	0.151595533898966	0.658992874821339	-0.0413375551957258	0.445813573168843	0.349212043785706	0.658992874821339	0.98920607360232	0.445813573168843
223	1	3	PAR	1101.97862923016	0.758607076010175	0	0	0	0.323133778438259	0.324981256544628	0.655729081509437	-0.135921966818092	0.589753213449941	0.463485595750748	0.655729081509437	0.968018524518969	0.589753213449941
223	1	3	PARX	948.741898144671	0.81846621181321	0	0	-81.342618842125	0.359714325121784	0.362917125415952	0.771705399662815	-0.178963691685448	0.641743826503711	0.573105318767273	0.771705399662815	0.957891111704609	0.641743826503711
223	1	3	RIDGE	1261.16921349131	0.781782239263767	96.3735461047557	217.482065108273	-144.719881706731	0.547614023404515	0.548337892732496	0.653243623649449	-0.0850805105756261	0.751866365233825	0.573138149698133	0.653243623649449	0.979981158847344	0.751866365233825
223	1	3	PARX1	1215.74694214283	0.810386387610571	99.8623210740533	0	0	0.422298338587253	0.424769196143074	0.636533488507476	-0.157189616572494	0.671333613331752	0.50857611625797	0.636533488507476	0.963014397260644	0.671333613331752
223	1	3	PARX2	940.442202643553	0.818329530525885	0	96.6924660782069	0	0.321136329405403	0.322563710724042	0.666518438916965	-0.119473064689886	0.585943544634668	0.467606407409399	0.666518438916965	0.971888834612459	0.585943544634668
223	1	3	PARX3	948.741898144671	0.81846621181321	0	0	-81.342618842125	0.359714325121784	0.362917125415952	0.771705399662815	-0.178963691685448	0.641743826503711	0.573105318767273	0.771705399662815	0.957891111704609	0.641743826503711
223	1	4	PAR	1071.10562516914	0.654282388668721	0	0	0	0.457623574396475	0.463890779648062	0.660107824973124	0.250343868540578	0.728899989023651	0.561022049440172	0.660107824973124	1.06066081504423	0.728899989023651
223	1	4	PARX	1238.45842689882	0.658735844135072	106.665812287471	0	-7.7326273258115	0.573454338983962	0.577860530607375	0.743808871104231	0.209909304782142	0.789970467702427	0.664838314170196	0.743808871104231	1.05086311715035	0.789970467702427
223	1	4	RIDGE	1388.57596640535	0.6624325495512	174.955506269798	276.182337282389	-107.725060895726	0.573560887145909	0.587744365192734	0.824098806711342	0.376609586267057	0.854702116670743	0.754275745643995	0.824098806711342	1.09125625720179	0.854702116670743
223	1	4	PARX1	1239.20019758051	0.658067145704659	106.05277961201	0	0	0.570133812914902	0.574685657301967	0.736574611548364	0.213350518796309	0.789292925197367	0.65873326842617	0.736574611548364	1.05169695761171	0.789292925197367
223	1	4	PARX2	1033.54580892694	0.649232923522399	0	162.881923721336	0	0.467835467645819	0.475293646009571	0.621963495899207	0.273096656218125	0.753029740534849	0.543617582097682	0.621963495899207	1.06617404232275	0.753029740534849
